Sentence,Label
"যে সুন্দর গানর লাইনটা, আবার খইবানি?""",Sylhet
"চলো,কিছু খাইয়া আসি।",Bogura
কামডা শ্যাষ হইরা দাও,Bogura
উনার নাইগা উপহার কিইনো,Bogura
হাড়ি পাতিল যা আছিল সব উল্টায়া ফেলছে।,Pabna
তুমার ইস্কুলে যাও।,Sylhet
সাবধানে যাইস।,Chittagong
আইজকে আমার কোনো মুড নেই।,Pabna
সময়ে আইয়ো।,Cumilla
গামলাত মুই তোর জন্যে ভাত থুচু তুলি,Rangpur
মোক অল্পেকনা সমায় দেন।,Rangpur
ধীরে ধীরে কতা কও।,Cumilla
এই ছবিডো আপনার ফোনে পাঠান পারবেন।,Bogura
তুমি কি নতুন বন্ধু বানানের চেষ্টা করতাছো?,Cumilla
"কি করবার পারলে ভালো হবি,একটু পরামর্শ দেও",Bogura
ইয়া হাজ শুরু গর,Chittagong
তুমি কিতা কফি ভালা ফাওনি?,Sylhet
তুই কি এই ব্যাপারে আরো জানিশ?,Rangpur
এহন কার সময় বেশি মানুষই ঢাকা যাইয়া বগুড়ার ভাষা কইতে পারে না,Bogura
আমি আইজকে মেলা ক্লান্ত।,Pabna
হন টেনশন ন গরিস।,Chittagong
"কি কইরলে ভাল হয়, একটু পরামর্শ দিবেন?",Pabna
তোরে ভালা মানাইয়ে,Chittagong
দয়া কইরা একটা ভালো বই সাজেস্ট করেন।,Pabna
আহ!শান্তি পাইলাম!,Sylhet
একনা সাবধান হবার কন।,Rangpur
এত বড় ব্যাপার!,Cumilla
খাইয়া দেহ খাবারডা কেমন।,Pabna
তুমরার কমেন্ট পড়িয়া আমি অনেখ মজা ফাইছি,Sylhet
দরজাটা আটকে দে।,Rangpur
অনুরোধ আমাকে এন্না সহযোগিতা করো বারে।,Bogura
তোমাক কইলাম হামার এত্তি আয়,Rangpur
হেতে আবার আমার হাতের রান্দন চাটতা-পুটতা খায়।,Cumilla
হামাক ছাইড়া চইলা গেলা,Bogura
হামাক বিলডা দাও,Bogura
মেহমান আইছে চেয়ারডা নিয়ে আয়।,Pabna
আমার লাগি তুরা সময় লও।,Sylhet
সবার সামনে তোর বাবা কত কতা কইছে।,Pabna
তুমি কি বিশেষ কিছু ভাবছাও।,Bogura
হামাকে এন্না সময় দাও তো,Bogura
কেমন করি বুজা খাইবে?,Rangpur
কাপ নিবো আমাগো দল।,Cumilla
আঁই কি আপনারে কিছু জিগাইতে পারি নি?,Cumilla
হামি ঠিক সময়েই আসমু।,Bogura
কম্পিউটার ডো বন্দ কইরো,Bogura
একনা শান্ত হয়া যান।,Rangpur
ভাত হাইও নে,Chittagong
এইহানে আমার লইগা দাড়াও,Pabna
আমাগো আর কি শিখেবে তোরা,Pabna
আমি অনো আছি।,Sylhet
কামটা করি থো।,Rangpur
তোয়ারে হইলাম দে আর এডে আইও,Chittagong
তোয়ারা হন।,Chittagong
তোমার খাটুনি প্রশংসনীয়।,Cumilla
আমার কাছ থাইক্যা পইড়া তোমারে ডায়ালগ হুনাইতে যাইতাছি!,Cumilla
হামার বাড়িত আইজ গচি মাচ আন্দিছে,Rangpur
দয়া কইরা শান্ত হও বারে।,Bogura
কোনো সমস্যাই নাই,Bogura
মোক সাথোত নেলে,Rangpur
তুঁই কিতা কস?,Sylhet
টেলিভিশন বন্ধ করো।,Cumilla
তোমার জন্যে কিছু থুইয়া দিবার পাইবেন?,Rangpur
তুই কি পুরান বই দেকপের ভালোবাসিশ?,Rangpur
এখনা সাবধান হ।,Rangpur
"আমি বাড়িত, তুই কোনে?",Pabna
আঁই গাড়ি লইয়া বাইর হইতে পারতাছি না।,Cumilla
আমাক অস্কার দেও।,Pabna
আমি কুব মন খারাপ করমু।,Sylhet
আমারে সাহায্য করার লাইগা ধন্যবাদ।,Pabna
আই কা না ফাইততাম,Chittagong
তুই কি কোনো পুরুষ্কার জিতছিশ?,Rangpur
ঠিকই কইছে উনারা,Bogura
আইজক্যা ওর জন্মদিন।,Bogura
আমারে এখটা মিনিট সময় দেও।,Sylhet
লোকটা মোকে দুই চোকে দেকপ্যার না পায়,Rangpur
তুমার কিতা কোনো শখ আছেনি?,Sylhet
দয়া করে এইডা আরেকবার কইবেন নি?,Cumilla
তাই কুব হাসিকুশি এখটা ফুরী।,Sylhet
হামি খুব ক্যাল্ত হইয়া গেছি,Bogura
তুমি অতো তাড়াহুরা খররায় খেনে?,Sylhet
আমারে সাহায্য করেন,Pabna
টেবিলটা সাফ করো।,Sylhet
হেতে খুব ভালা কতা কয়।,Cumilla
একটু খোলামেলা আলাপ করতে পারি নি?,Cumilla
তুই জানিলে হ,Chittagong
এইগল্যা ভাষাত আও করমো হামরা,Rangpur
তোমরা ফির ঢাকাত থাকেন,Rangpur
তুই কোনোদিন সময়মতো আসপের পাইস না,Rangpur
ফির ক।,Rangpur
আরাম পাবি ইয়া,Chittagong
শান্ত হন বারে।,Bogura
এটা সত্যি হইলো!,Pabna
তোর সবচেয়ে পছন্দের হোটেল কোনডা?,Pabna
"হো, হামিও যাইমু।",Bogura
বিয়েও তো খাওয়া লাগবে,Pabna
বাহ! কেদন করি সম্ভব?!,Rangpur
হামার সাথে সময় কাটাও বারে।,Bogura
আমিও কিন্তু কতা কইতে পারি।,Pabna
আমার দিকে একটু খেয়াল দ্যান।,Cumilla
আমারে তুরা সময় দেও।,Sylhet
হায়! কি কষ্ট!,Pabna
মুই ওকন্যা জাগা হাটি য্যাম।,Rangpur
তোর কি হয়য়ে,Chittagong
একনা শান্ত থাকপের ক।,Rangpur
দুপুরবেলা ঠিক সময় ফিরো।,Bogura
হডে গিলি দে?,Chittagong
আপনার বইটা আমি ফরতাম ফারিনি?,Sylhet
আঁই তো্র লাই কিছু লই আই,Chittagong
তোর ধৈর্য্য মেলা।,Rangpur
আঁরে ইয়া কাম্মান গরিত দন,Chittagong
কেজানি সেদিন কইলো।,Pabna
তোমার জীবনদর্শন কী?,Cumilla
খুচরা টেকা নাই বারে,Bogura
বেয়াগ্গুন বেয়াগ্গিন হ ফেলাইয়ে,Chittagong
দরজা এন্নান খুলি দে,Chittagong
মাটে বাছে দেও।,Pabna
অঁনের এক্কানা সাহায্য লাইগব আঁর,Chittagong
একটু সাবধান থাহো।,Cumilla
মাঝে মাঝে আমার লগে মাতইন যেন।,Sylhet
আমারে কুন্তা খও।,Sylhet
ভাষাটা হামার প্রানের,Rangpur
মুই তোক বিশ্বাস করবের পাংছে না,Rangpur
দয়া করি আমার কথাডা অক্কু হুনো।,Sylhet
আমারে কওনের আগে চিন্তা করো।,Cumilla
একটু আমারে শোনান।,Pabna
আমার অনেক ভালা লাগলো।,Cumilla
জাংলা ডো লাগা,Bogura
ওহ! এতটা সম্ভব!,Pabna
খবরখানা দেখো বারে,Bogura
আমি পাবনা যাবো না।,Pabna
হায় হায় এডো কি হইলো বারে।,Bogura
আমরার অখানো আইয়ও,Sylhet
আইজক্যা খুব বৃষ্টি হইবো।,Bogura
কাঠল বিছি বর্তা খাওয়াইবায় নি?,Sylhet
হাসি থাক।,Rangpur
কামডা ঠিকমতো করো।,Cumilla
কইবে তুই।,Sylhet
ক্যামনে বুঝাইতে হইবো?,Cumilla
আজকের থেহে আমিও শুরু করবো।,Pabna
তুমি কি খেলাধুলোয় অংশগ্রহণ করো নাকি বারে।,Bogura
আপনার উপদেশ আমার লাইগা মূল্যবান।,Cumilla
দরজাডা আটকাই দে।,Pabna
এটা সত্যি অইল!,Sylhet
ইতে হনদিন ন বুঝে,Chittagong
ডাক্তার দেখাও কাইলকা,Bogura
আমরা গেলামগি,Sylhet
মাথা কাজ করিচ্ছে না বারে।,Bogura
বাহ! ক্যামনে সম্ভব!,Cumilla
ইটা তো খুব গম্ভীর বেয়াফার!,Sylhet
আমাক রাগ দেহাইছে।,Pabna
তায় ফির মোর হাতের আন্দন– চাটিপুটি খায়,Rangpur
তুই গারি চলাইত পারচ,Chittagong
আঁই কী কমু রে?,Cumilla
আমার লাইগা একটু টাইম নেন।,Pabna
একটু সাবধানী হও।,Cumilla
"এডাই কব, কওয়াই লাগবি।",Pabna
আমাগো পাবনা।,Pabna
আরে সাহায্য গরিবল্লা অনরে ধন্যবাদ,Chittagong
তোর কথা শুনিয়া মনটায় খারাপ হয়া যায়,Rangpur
কি গরিলে ভালা অইব আরে বুদ্দি দন্না,Chittagong
দুপুরত সময় মতো ফিরি আসিশ।,Rangpur
বইটা অনো রাখো।,Sylhet
মুই হনু আসল অম্পুইরা।,Rangpur
ওয় কোনোদিন বোজে না,Rangpur
গাড়ির বেল্ট পিন্ধো।,Cumilla
আব্বু আম্মু হুনলে কইবো এর আবার কী হইলো।,Cumilla
টেলিভিশন ডো বন্ধ করো।,Bogura
পেন্সিল দিয়া লেখো।,Bogura
দয়া করে স্বাদ খাওন বানাও।,Cumilla
হাড়ি পাতিল যা আছে সব আচড়ে ফেলাইল,Rangpur
তোমার হুরুকালের সেরা স্মৃতি কী?,Cumilla
আহা।।কত্ত সুখ।,Bogura
দরখার অইলে আমারে মাতাইও।,Sylhet
ওফ! কি গরম!,Pabna
তোমার ধৈর্য অভাবনীয়।,Cumilla
তুমি ক্যান এতো তাড়াহুড়া করিচ্ছো বারে।,Bogura
আরে ফোন কর।,Cumilla
আমার লাগি শাপলা তুলিয়া দিবেনি,Sylhet
আঁরে ইক্কিনি দেছুনা।,Chittagong
হায়! এইডা কী করলাম!,Cumilla
কই থাইক্যা আইলেন?,Cumilla
কামের প্রতি মনোযোগী হও।,Bogura
গামলাত করি আমি তোমার লাগি ভাত থইছি,Sylhet
বিছনা ডো গুছে থো,Bogura
আজকে বাইরে যাইবের মন নাই।,Pabna
আঁই এহন ইসকুলত আছি।,Chittagong
এইহানে বহো আর অপেক্ষা করো।,Cumilla
তুই সবাক সাহায্য করবের জন্য আগে আসিস।,Rangpur
হনে কি আর পোয়াতি আইবেন?,Chittagong
কি মজার গপ্পো!,Rangpur
তোরা পাবনার ভাষায় কতা কওয়া শিহিশ নেই।,Pabna
পার্কে যামু আইজক্যা,Bogura
"তোরা আইছস, একটু বহো।",Cumilla
তুই সবকিছু জটিল কইরা ফেলোস।,Pabna
ক্যাংকা আছুন বারে আপনি।,Bogura
দয়া কইরা আমাক দিন এডো।,Bogura
বইডা পড়ো।,Cumilla
যে সুন্দর হাসি!,Sylhet
আফনার মুখও হাসি দেখতে মনেছার।,Sylhet
ঠিকউ খইরা তারা।,Sylhet
হামি বুঝতে পারছি,Bogura
জিরান লাগবি,Bogura
তুমি কি এমন কিছু হুনছো যা অদ্ভুত?,Cumilla
"হো,সক্কলিই ভ্যালাই আছে।",Bogura
আপনার উপদেশ হামার লাইগা সেই দরকার।,Bogura
আপনার মুখে হাসি দেখতে চাই।,Cumilla
আই রাজি।,Chittagong
আঁই কিছু কইতে পারতাম না।,Cumilla
তুই বেগ্গুনেরে সম্মান দচ,Chittagong
আমার তো ভালা লাগতাছে না।,Cumilla
দয়া করি একনা চুপ করেন।,Rangpur
আর তুন গীঘিত ফাল দিত মন চার,Chittagong
মুই কিন্তু খাঁটি সিলেটি।,Sylhet
তুমি কি শহরের বাইরে যাইতে চাও?,Cumilla
তোরা ভালাই পারো।,Cumilla
একজন মানুষের দুইডা ছাওয়াল আছিল।,Pabna
আমি কিন্তু খাঁটি পাবনার।,Pabna
তুমি এখুন কুনটি?,Bogura
তুই কি নতুন পোযুক্তির সাতগে আপডেটেড?,Rangpur
দয়া করি বেশি কথা কইশ না।,Rangpur
ওই ফারত হন হন যাইবা,Chittagong
কিছুক্ষণের জন্যি আরাম লও,Pabna
তোমার পছন্দের ছুটি কোনডো।,Bogura
দরজাডা বোন্দ কইরা দেন।,Pabna
তুত্তুন কি ছবির পতি বেশী মন,Chittagong
জামাডা নতুন নাহি?,Bogura
তুমি কি ছবির লাইগা খুব আগ্রহী নাকি বারে।,Bogura
হেসে থাহো।,Cumilla
হামার তো ভালো নাগছেনা।,Rangpur
দারুণ ভ্রমণ!,Pabna
তোরকারি ডা স্বাদ হইছে,Bogura
তুই কি সকালে উঠা ব্যায়াম করস?,Pabna
মাঝে মাঝে অনে আর ফুয়ারে হতা হইওন,Chittagong
তুমি কি ইংরেজি শিখতাইছো।,Bogura
আপনার কাছ থাইক্যা কিছু শিখতে চাই।,Cumilla
তুই আজ স্কুলে আইলি না ক্যান?,Pabna
আব্বা গরত নাই।,Chittagong
তমার উপদেশ হামার জন্য মূল্যবান।,Rangpur
বগুড়ার ভাষাই হামার মাতৃভাষা,Bogura
ইকটু টাইম হলে ভালো হবে।,Pabna
আমি সিলেটি,Sylhet
আর পছন্দর কালার নীল,Chittagong
"আপনার অভিজ্ঞতা শেয়ার করেন, দয়া করে।",Cumilla
মোক কি সেই তত্যটা পাঠাইবেন?,Rangpur
আমরা গেইলেম।,Pabna
আমার তো ভালা লাগের না,Sylhet
স্কুলের সময়সূচি দেহো।,Cumilla
ভালা কইরা শিখ।,Pabna
মোর মাও হাটোত জাইবে,Rangpur
জলদি আও।,Cumilla
তুমি কোনো ফুরুষ্কার জিতছোনি?,Sylhet
সুন্দর স্বাদ কইরা রান্দো বারে এন্না,Bogura
মুঁই অংপুরের ছাওয়া,Rangpur
তোর কতাগুলা দুখ দেয়,Rangpur
ঠিক টাইমে তৈয়ার অও।,Sylhet
তুমি কিতা সফরও যাইবার প্ল্যান কররায় নি?,Sylhet
আমারে এক কাপ চা দিবের পাইরবেন?,Pabna
চা খাবু নাকি,Bogura
মোক একটা উপহার হিসাবে এইটা দেন।,Rangpur
তুয়ার কমেন্ট পড়ি আর গম লাইগ্যে,Chittagong
এডে আল্লা বই থাইক্ক,Chittagong
"তুমি কও, কী করতে হইবো?",Cumilla
একটু আস্তে কইবেন।,Pabna
আস্তে আস্তে কতা কও।,Bogura
ইকানো বই থাকো আর আমার লাগি অপেক্ষা করো,Sylhet
এক্কানা গরি মাইজ্জি।,Chittagong
আঁই চা বহাইছি।,Cumilla
আমরার বাড়িও সিলেটর।,Sylhet
তুমি আমারে কইছিলা,Cumilla
একনা সাহসী হয়া কাজ করেন।,Rangpur
দয়া করে একটু সাহায্য করেন।,Cumilla
ইয়া ইরকম অয় না কিতা?,Sylhet
এইডা আরেকবার কইবেন?,Pabna
তুমি কি হামার লাইগা অপেক্ষা করিছো।,Bogura
এই ছবিটা তোর ফোনত পাটপার পাইশ?,Rangpur
আর ভুল হইয়ে,Chittagong
নিচে নাইমা আইসো।,Bogura
ঘরত আইজ্জা মেমান আইব,Chittagong
.দয়া গরি এক্কানা সাহায্য গইন,Chittagong
আপনার হাত থাইক্যা একটু উপহার পাই নি?,Cumilla
এই গান গা আত্তু খুব গম লাগে,Chittagong
দারুন! কি সুন্দর!,Sylhet
এতো তাত্তারি কেবা কইরা হইলো।,Bogura
ভিডিও ডো দেখো।,Bogura
তুমি খাইলিছ নি?,Sylhet
আমি দোকানে দাড়ায় আছি,Pabna
ফ্লিম ইবে বউত মজার,Chittagong
অঁনে কি আঁরে এক্কানা সাহায্য গইর্যেন নি?,Chittagong
পোত্তেক দিন খালি পানি হওছে হামার এ্যাটে,Rangpur
এইহানে নেটওয়ার্ক নাই,Bogura
স্কুলের টাইমটা মনে রাখ।,Pabna
বইডো এহানেই রাহো।,Bogura
মুই এদন পরিবেশত কাজ করবের পাং না,Rangpur
কোনটে কোনা হামরা কবার চাইচোল অমপুরী ভাষা,Rangpur
দয়া কইরা সাহায্য করবার পারি কি।,Bogura
বাবা বাড়িতে নাই,Pabna
ইটা তোমার লাগি।,Sylhet
তুমি কিতা খেলাধুলা করোনি?,Sylhet
তোমরা ভালই পারেন,Rangpur
তুই আইজ্জ এডিয়ার হতা হ দে?,Chittagong
বেজ্ঞুনরে ডাক,Chittagong
এখনা মজার রান্না করেক।,Rangpur
কামডা কইরা রাইহো।,Cumilla
বাহ তুমি তো সেই চালু।,Bogura
রিশকা আনো,Bogura
আপনার হাত থেইকা উপহার পাই নাকি?,Pabna
বাহ! কেমনে কইরা করলা!,Pabna
এইহানে ঠিকভাবে কাজ কইরো,Pabna
"হাসাই,এডো সম্ভব হইলো।",Bogura
আর মনত জ্বালা।,Chittagong
টপাস করি আইসো।,Rangpur
তোর আব্বা এমন সময়ে আইছে,Cumilla
তুমার নাম কিতা,Sylhet
আঁই আজকা বাইরে যাইতে চাই না।,Cumilla
তুমরার অখানো আকাশ কিলা।,Sylhet
এখন তুই বাউটা-ছক্কর দেছ।,Sylhet
আই ঢাহা ন যাইয়ুম।,Chittagong
তুমি কি কহনো পাটিতে গিয়াছো নাকি।,Bogura
তুমি কিতা নয়া প্রযুক্তির লগে আপডেটেড?,Sylhet
আমি ওক পছন্দ করি নে।,Pabna
তুই হনো খেলা হচ,Chittagong
ভাষা ভুইলা যামু নি?,Cumilla
কি সুন্দর সন্ধ্যা!কি মজার সন্ধ্যা!,Sylhet
দয়া করে এইডা আমার লাইগা করেন।,Cumilla
কী দারুণ ব্যাপার!,Cumilla
তুমি কোনোদিন পাত্তা দাও না।,Cumilla
তুমার সময় লাগবো।,Sylhet
দ্যাকো ভাল্ করি,Rangpur
দয়া করি এটা ফির কন।,Rangpur
আইচ্ছা। এডো কেডো কইলো।,Bogura
ছোরো হালে বউত খেলাইতাম।,Chittagong
আপনার কাছ থেইকা শিকপের চাই।,Pabna
আমার লগে অক্কু মায়া দেহাও।,Sylhet
আজিয়া বৃষ্টি পড়ের।,Chittagong
তুই বেরাইত পছন্দ গর নে?,Chittagong
বাড়িত আইজকু কুটুম আইবা।,Sylhet
চুপচাপ থাক।,Pabna
"আমি বাড়িত, তুই কই?",Sylhet
আমিও পারি কইতে।,Pabna
মুই কি তোমার সাহাইজ্জ নিবার পাং?,Rangpur
আশা আছিল তুমারে লইয়া।,Sylhet
খেলা দেখবা আইজক্যা?,Bogura
তোমার পড়ার জাগা পরিষ্কার করো।,Cumilla
এক্কানা সুযোগ দন,Chittagong
আহ! শান্তি!,Pabna
আমি আসল পাবনার মানুষ।,Pabna
পেট ফুরাদ্দে তোয়ার লাই,Chittagong
তোরা আইসে এটু বয়।,Pabna
দোর ডা বন্ধ কইরো,Bogura
বাড়ির কাম শ্যাষ কর।,Rangpur
ধন্যি ছাওয়াল গো তুমি।,Bogura
মুই ফিরি আসিম।,Rangpur
আইজকাল আই আইলে।,Chittagong
আমার এক্কু গোয়াপ খাইতে মন করের,Sylhet
মুই একমত,Rangpur
আমার লাগি তুরা জাগা দেও।,Sylhet
আফনার লগে এখটু খথা খইতে পারমুনি?,Sylhet
এক্কানা সাহস গরি কাম গইন।,Chittagong
আমারে কিছুটা সময় দ্যান।,Cumilla
চুপচাপ থাহো।,Cumilla
আইজ্জা বারে যাইত মনে ন হর।,Chittagong
আর মোবাইল গা আনি দ,Chittagong
আইও হই পারি,Chittagong
একটু মজার রান্না করো।,Pabna
তুই ফজরত উডি বিয়াম গরজ,Chittagong
আমার মন ছটফট করতেছে।,Pabna
"একটু দাড়াইতে হইবো,কি কন?",Pabna
এইসব ভাষায় কতা কবো আমরা,Pabna
আঁর্লাই এক্কানা মিডাই আনিবেন নি?,Chittagong
আপনার লগে কাম করতে চাই।,Cumilla
আমি সিলেটি মাত হুনিয়া ঠিক থাখতে পারি না।,Sylhet
তোমার কতালইন কষ্ট দেয়।,Cumilla
একটু শান্ত হইয়া যান।,Cumilla
আমারে কিতা হউ তথ্য/খবরটা পাঠাইবায় নি?,Sylhet
শুদ্ধ কইরা কতা কওয়া লাইগতেছে।,Pabna
মুই যাইমু,Sylhet
তুই কি হইও,Chittagong
আমাগো শরম লাগে না।,Cumilla
আমারে জানািলে অনেখ ভালা অয়।,Sylhet
আপনি কি আমারে আপনার বইডা ধার দিবেন?,Pabna
মাঝে মধ্যে কথা কইও,Bogura
মেহেরবানি গরি ইয়ান আবার হইবান নে?,Chittagong
মনডো জুড়াই গেলো,Bogura
ওরে বাপো! মেলা গরম!,Rangpur
এতো বড় কাম!,Rangpur
খাতাডা দিও তো,Bogura
পাতাডা উল্টাও।,Cumilla
দেওয়ান কইলো হামি আইজক্যা জিতবার পারমু না।,Bogura
কোনোবায় একলায় বের হইশ না।,Rangpur
ওহ! মেলা মজা!,Rangpur
একটু হোশিয়ার হইতে কন।,Cumilla
দয়া করি সুস্বাদু খাবার বানাও।,Rangpur
আপনার কাজ কামের অভিজ্ঞতা ডো কইবেন।,Bogura
চলেন এহন চইলা যাই,Bogura
আরা হাইল্লা বিক্স অত যাইওম,Chittagong
তুঁই কি হদ্দে?,Chittagong
ইবা তুয়াল্লা গর,Chittagong
আন্তাজি! খে খইছে তোমারে?,Sylhet
"বাহ,কেবা কইরা করলা",Bogura
এখনা সাবধানে থাক।,Rangpur
ঠিক সময় গোছ মিছিল হইও,Bogura
অঁনের বাব্বতে আরঅ জানিবার মন চ্যার,Chittagong
তোমার পছন্দের জিনিস গুলান দেখাও।,Bogura
আমি এখন যাইমু,Sylhet
সব ক্যান জানি আওলাজাওলা লাগিচ্ছে,Bogura
হামি ঢাকা যাইবার চাই।,Bogura
ইকটু খোলাখুলি কতা করবের পারি?,Pabna
তুমি জানলেউ কইও।,Sylhet
আমার একটু শোলকা খাইতে ইচ্ছা করতাছে।,Cumilla
মোক তোর পরিকল্পনা ক।,Rangpur
আমারে সাহায্য করতে কি আপনার অসুবিধা হইবো নি?,Cumilla
আইসেন আমার বাড়িত।,Pabna
মুইও পারোং কবার।,Rangpur
তুই হত্তে আইবি?,Chittagong
তুমি কি কিছু শিখবার চাও?,Bogura
চুপ কইরা থাকো।,Bogura
"হুম,সকালে হবি ক্লাস।",Bogura
তুই কি কোনডা নতুন প্রজেক্টে কাম করতাস?,Pabna
হায় হায় কেবা হইলো এডো,Bogura
বাহ! তোমার গলার সুর কত মিষ্টি!,Cumilla
হামি এক্ষুণি আসিচ্ছি,Bogura
হত্তর ভুল গইল্লাম,Chittagong
কি সুন্দইয্যা হাজ গইযযে।,Chittagong
মুখত হাসি থো।,Rangpur
তুমি জানোনি আইজ কতো তারিক/কি-বার।,Sylhet
আইজক্যা সেই গরম,Bogura
দয়া করে এইডা আমারে দিয়া দ্যান।,Cumilla
স্যান্ডেল খুলে থুয়ে আয়,Bogura
হায়! এটা কি করনু!,Rangpur
একটু আমার কতা হুনেন।,Cumilla
এডে থাইস।,Chittagong
আমারে এইহানে দাড়াইবের কন।,Pabna
আইজ ইস্কুলো খুব মজা হইছিল।,Sylhet
"ইশ, বেসেবা ভুল করি দিসি",Sylhet
"চলো,হাঁটি এল্লা",Bogura
এই গাছডা মেলা বড়।,Pabna
আমরার মাঝে অনেক কাজিয়া অইছে,Sylhet
বাহ! তুমার গলার সুর যে সুন্দর!,Sylhet
বাড়িতে আজক্যা মেহোমান আসপি।,Pabna
মোক এটে ( অ্যাটে) দাড়বার কন।,Rangpur
মেহেরবানি গরি ইবা আরে দি দিওন,Chittagong
অনো ঢং করতায় আইছোনি?,Sylhet
আই এহন ন হাইয়ুম,Chittagong
আমাগো ভাষা আমাগো গৌরব।,Cumilla
মোক ছাড়ি চলি গেলু!,Rangpur
কোনদিন আচ্চেন?,Rangpur
আমারে ভুলা যাস না।,Pabna
কি মারাত্মক ভ্রমণ,Rangpur
"কামের উপর মন দাও বারে,",Bogura
কুনুদিন আইছেন ?,Pabna
তোমারে অনেক ধন্যইবাদ,Bogura
বাড়ির কামডা শেষ কর।,Pabna
স্কুলের রুটিনডা দ্যাখ,Pabna
সব লও জানি উল্টা-ফাল্টা অইযার।,Sylhet
আমারে কিছু কওয়ার আগে ভাবিস,Pabna
আমারে জানাইলে খুব ভালা হইতো।,Cumilla
ওই খুব মিঠা কইরা গান গায়।,Bogura
আপনার অভিজ্ঞতা শেয়ার করেন দয়া কইরা।,Pabna
অ আল্লাহ ইয়ান কেনে সম্ভব অইলো,Chittagong
আমরা হক্কল সিলটী,Sylhet
তুই এখনা অপেকক্ষা কর।,Rangpur
আরার তুন সরম ন লাগে।,Chittagong
"আপনার কিতা খবর, ভালো আছইন নি?",Sylhet
আমি কিতাউ কইতাম না,Sylhet
তোর আব্বা আইলে কইস,Cumilla
আইজ মোর কোনো ইচ্ছা নাই,Rangpur
তুমি কুয়াই থাখ?,Sylhet
তুমি গিইয়া বইসো।,Bogura
আমার ফোনডা আনি দাও।,Cumilla
সিলেট দেখতে কিলা,Sylhet
তোরা কুমিল্লার ভাষায় কতা কওন শিখো নাই।,Cumilla
কিছু নতুন কইরা শিইখো,Bogura
মাঝে মাঝে আমার লগে আপনি কথা কইবেন।,Pabna
মনত গরি ছা চাই,Chittagong
তোমার কি পছন্দের টিভিতে কিছু দেহার আছে নাকি বারে।,Bogura
এত বড় বেফার!,Sylhet
তোরা হগলে এত কতা শিখলি কই থাইক্যা?,Cumilla
আঁই এই সিদ্ধান্তে রাজি না।,Cumilla
আমারে ভুইলা যাইয়ো না।,Cumilla
জমি বেচে তোক পড়া পড়ানু,Rangpur
গরম পানি লইয়া আইসো,Pabna
দয়া করি তোমার অভিজ্ঞতা শেয়ার করো।,Rangpur
আমাগো সরম লাগে না।,Pabna
আমারে আপনার অভিজ্ঞতা কইবেন নি?,Cumilla
মন দিয়া পড়ো বারে।,Bogura
তোঁর পছন্দের গান কি??,Chittagong
ভাত হাই যা,Chittagong
তোমার প্রিয় একখান গান কও,Bogura
দয়া খরি ইটা আমারে দিলাও।,Sylhet
একা একাই এমনে করিয়া লুকায় গিয়া দাওয়াত খাইতাছেন!,Cumilla
হুম ঠিক আছে।,Bogura
এল্লা দাঁড়াও বারে,Bogura
তুই কি নোয়া বন্ধু বানাইত চর,Chittagong
তুমি হগলকিছু জটিল করো।,Cumilla
গলাত ব্যথা ঘরের,Chittagong
"যেটা কং, সেটা মনে থো।",Rangpur
আমার মন লাগেনা/বয়না,Sylhet
কি সুন্দর হাসি খানা।,Bogura
পেজটা উল্টাও,Rangpur
লোকডা আমারে দুই চোখে দেখতে পারে না।,Cumilla
বিয়ে ত হাবা পরিবো,Chittagong
বাহ! ক্যামনে করলা!,Cumilla
"দরকার হইলে আঁই হাঁটি হাঁটি কুমিল্লা যামু, তাও এই বাসে উঠতাম না।",Cumilla
এখানে আমারা আমরাই তো,Pabna
তোরা কিডা?,Pabna
তুমরা সবাই এত কতা শিকলে কোন থেহে?,Pabna
তহন সুপারিডা চাবান।,Pabna
তুমি জানলে কও।,Cumilla
ইতে হারাদিন সত্য হতা হই,Chittagong
বেহেই ভ্যালোই আছে তাইনা?,Bogura
এহনো ঘুমাস নেই ক্যান?,Pabna
আমি পাবনার কথা শুনলে ঠিক থাকতি পারিনা।,Pabna
শুদ্ধ করিয়া কতা কওন লাগতাছে।,Cumilla
কি গম্ভীর কাহিনী।,Bogura
আমার জন্যি এইডা ঠিক না।,Pabna
অল্প এনা শান্ত থাকো বারে।,Bogura
হামি এডো বুইঝা সারাজীবন বগুড়ার ভাষাতে কতা কই।,Bogura
অই মেলা সুন্দর গান কয়।,Pabna
কামের প্রতি খেয়াল দাও।,Cumilla
আমার সবথাকি ফছন্দের রং অইল নীল।,Sylhet
তোমার নেকা সেইঙ্কা হইচে,Rangpur
টঙওর উফরে বনো।,Sylhet
অ হালিয়ে ক্লাস,Chittagong
"আসলেউ/সত্যি সত্যি! ইটা অইগেল!""",Sylhet
দয়া গরি এক্কানা চুপ থাহুন,Chittagong
তোরে তো অস্কার দেওন লাগবো।,Cumilla
আমার লাইগ্যা অক্কু সময় রাখো।,Sylhet
ছাতি নিয়ে যাই,Bogura
চিড়েখানা যাব।,Pabna
গরমে পন্তা খাওয়া লাগে,Pabna
একটু আস্তে কইবেন নি?,Cumilla
মোর সাথে সময় কাটাও।,Rangpur
আমারে কি হেই তথ্যডা পাঠাইবেন?,Cumilla
জলদি রেডি/তৈয়ার অও।,Sylhet
এবাও হয়।।,Bogura
গম গরি চন,Chittagong
